ID,Item_type,Study_Title,Document_Reference,Author_1st,Author_2nd,Author_3rd,Author_4th,Author_5th,Author_6th,Publication_year,Country_application,Specific_Location_1,Specific_Location_2,MAR_Type_1,MAR_Type_2,MAR_Type_3,MAR_Type_4,Criteria_Group_1,Criteria_Group_2,Criteria_Group_3,Criteria_used_Original,Criteria_used_Modified,Criteria_weight,Subcriteria_Min_weight,Subcriteria_Max_weight,Standardized_criteria_weight(%),Criteria_importance_rank,Criteria_weights_assigment,Combination_rules,Constraint_mapping,Constraint_mapping_what,Sensitivity_Analysis,Water_Sorce,Main_objective,Groundwater_potential_zones
018,Journal Article,GIS based multicriteria analysis for potential wastewater aquifer recharge sites,"Kallali, 2007",Hamadi Kallali,Makram Anane,Salah Jellali,Jamila Tarhouni,,,2007,Tunisia,Hammamet_Nabeul-_Cap Bon_ peninsula,,"Well, shaft, borehole recharge",,,,Management criteria,Economic criteria,Economic criteria,Wastewater pumping height,Wastewater pumping height,NA,NA,NA,NA,NA,Boolean logic,Boolean logic,Yes,"Distance to urban and tourist areas (<200 m);Distance to hill reservoirs (<500 m); Slope (>12%); Soil texture (>10% clay fraction); salinity (>4 mmhoms/cm); Geology ( only stream sediments, miocene sand, dune sediments, Pliocene sands are valid); Distance to WWTP (< 8km); pumping height (15 m) ; Aquifer depth (<5m) ; Geology (inadequate permeable subsoil and high salty layers);pipe length (>8km); Pipe elevation difference (>15m)",Yes,Treated wastewater,Agriculture,No
019,Journal Article,Impact Assessment and Multicriteria Decision Analysis of Alternative Managed Aquifer Recharge Strategies Based on Treated Wastewater in Northern Gaza,"Rahman, 2014",Mohammad Azizur Rahman,Bernd Rusteberg,Mohammad Salah Uddin,Muath Abu Saada,,,2014,Palestine,Gaza strip,,Spreading methods,"Well, shaft, borehole recharge",,,Technical criteria,Aquifer characteristics,Storage capacity,Groundwater level,Groundwater level,NA,NA,NA,NA,NA,Pairwise comparison method,"AHP, WLC and PROMETHEE",No,NA,No,Treated wastewater,Nonspecific,No
019,Journal Article,Impact Assessment and Multicriteria Decision Analysis of Alternative Managed Aquifer Recharge Strategies Based on Treated Wastewater in Northern Gaza,"Rahman, 2014",Mohammad Azizur Rahman,Bernd Rusteberg,Mohammad Salah Uddin,Muath Abu Saada,,,2014,Palestine,Gaza strip,,Spreading methods,"Well, shaft, borehole recharge",,,Water quality,Groundwater quality,Groundwater quality,Average Chloride concentration,Groundwater - Chloride,NA,NA,NA,NA,NA,Pairwise comparison method,"AHP, WLC and PROMETHEE",No,NA,No,Treated wastewater,Nonspecific,No
019,Journal Article,Impact Assessment and Multicriteria Decision Analysis of Alternative Managed Aquifer Recharge Strategies Based on Treated Wastewater in Northern Gaza,"Rahman, 2014",Mohammad Azizur Rahman,Bernd Rusteberg,Mohammad Salah Uddin,Muath Abu Saada,,,2014,Palestine,Gaza strip,,Spreading methods,"Well, shaft, borehole recharge",,,Water quality,Groundwater quality,Groundwater quality,Average Nitrate concentration,Groundwater - Nitrates,NA,NA,NA,NA,NA,Pairwise comparison method,"AHP, WLC and PROMETHEE",No,NA,No,Treated wastewater,Nonspecific,No
019,Journal Article,Impact Assessment and Multicriteria Decision Analysis of Alternative Managed Aquifer Recharge Strategies Based on Treated Wastewater in Northern Gaza,"Rahman, 2014",Mohammad Azizur Rahman,Bernd Rusteberg,Mohammad Salah Uddin,Muath Abu Saada,,,2014,Palestine,Gaza strip,,Spreading methods,"Well, shaft, borehole recharge",,,Social criteria,Social criteria,Social criteria,People's acceptance,People's acceptance,NA,NA,NA,NA,NA,Pairwise comparison method,"AHP, WLC and PROMETHEE",No,NA,No,Treated wastewater,Nonspecific,No
019,Journal Article,Impact Assessment and Multicriteria Decision Analysis of Alternative Managed Aquifer Recharge Strategies Based on Treated Wastewater in Northern Gaza,"Rahman, 2014",Mohammad Azizur Rahman,Bernd Rusteberg,Mohammad Salah Uddin,Muath Abu Saada,,,2014,Palestine,Gaza strip,,Spreading methods,"Well, shaft, borehole recharge",,,Social criteria,Social criteria,Social criteria,People's convenience,People's convenience,NA,NA,NA,NA,NA,Pairwise comparison method,"AHP, WLC and PROMETHEE",No,NA,No,Treated wastewater,Nonspecific,No
019,Journal Article,Impact Assessment and Multicriteria Decision Analysis of Alternative Managed Aquifer Recharge Strategies Based on Treated Wastewater in Northern Gaza,"Rahman, 2014",Mohammad Azizur Rahman,Bernd Rusteberg,Mohammad Salah Uddin,Muath Abu Saada,,,2014,Palestine,Gaza strip,,Spreading methods,"Well, shaft, borehole recharge",,,Management criteria,Socio-environmental impact,Socio-environmental impact,Satisfaction with water quality and quantity,Satisfaction with water quality and quantity,NA,NA,NA,NA,NA,Pairwise comparison method,"AHP, WLC and PROMETHEE",No,NA,No,Treated wastewater,Nonspecific,No
019,Journal Article,Impact Assessment and Multicriteria Decision Analysis of Alternative Managed Aquifer Recharge Strategies Based on Treated Wastewater in Northern Gaza,"Rahman, 2014",Mohammad Azizur Rahman,Bernd Rusteberg,Mohammad Salah Uddin,Muath Abu Saada,,,2014,Palestine,Gaza strip,,Spreading methods,"Well, shaft, borehole recharge",,,Social criteria,Social criteria,Social criteria,Employment and willingness to pay,Employment and willingness to pay,NA,NA,NA,NA,NA,Pairwise comparison method,"AHP, WLC and PROMETHEE",No,NA,No,Treated wastewater,Nonspecific,No
019,Journal Article,Impact Assessment and Multicriteria Decision Analysis of Alternative Managed Aquifer Recharge Strategies Based on Treated Wastewater in Northern Gaza,"Rahman, 2014",Mohammad Azizur Rahman,Bernd Rusteberg,Mohammad Salah Uddin,Muath Abu Saada,,,2014,Palestine,Gaza strip,,Spreading methods,"Well, shaft, borehole recharge",,,Social criteria,Social criteria,Social criteria,Affordability to pay,Affordability to pay,NA,NA,NA,NA,NA,Pairwise comparison method,"AHP, WLC and PROMETHEE",No,NA,No,Treated wastewater,Nonspecific,No
019,Journal Article,Impact Assessment and Multicriteria Decision Analysis of Alternative Managed Aquifer Recharge Strategies Based on Treated Wastewater in Northern Gaza,"Rahman, 2014",Mohammad Azizur Rahman,Bernd Rusteberg,Mohammad Salah Uddin,Muath Abu Saada,,,2014,Palestine,Gaza strip,,Spreading methods,"Well, shaft, borehole recharge",,,Management criteria,Economic criteria,Economic criteria,Net cost benefit analysis,Net cost benefit analysis,NA,NA,NA,NA,NA,Pairwise comparison method,"AHP, WLC and PROMETHEE",No,NA,No,Treated wastewater,Nonspecific,No
020,Journal Article,Integrated Remote sensing and GIS groundwater exploration and identification of artificial recharge sites,"Saraf, 1998",A.K. Saraf,P.R. Choudhury,,,,,1998,India,"Sironj area of Vidisha district, Madhya Pradesh",,Spreading methods,,,,Technical criteria,Aquifer characteristics,Storage/water flow capacity,Geology,Geology / Lithology,1,1,2,15.3846153846154,3,Ranking method,WLC,No,NA,No,Stormwater/surface runoff,Nonspecific,No
020,Journal Article,Integrated Remote sensing and GIS groundwater exploration and identification of artificial recharge sites,"Saraf, 1998",A.K. Saraf,P.R. Choudhury,,,,,1998,India,"Sironj area of Vidisha district, Madhya Pradesh",,Spreading methods,,,,Technical criteria,Surface characteristics,Surface characteristics,Geomorphology,Geomorphology,1,1,4,30.7692307692308,2,Ranking method,WLC,No,NA,No,Stormwater/surface runoff,Nonspecific,No
020,Journal Article,Integrated Remote sensing and GIS groundwater exploration and identification of artificial recharge sites,"Saraf, 1998",A.K. Saraf,P.R. Choudhury,,,,,1998,India,"Sironj area of Vidisha district, Madhya Pradesh",,Spreading methods,,,,Technical criteria,Surface characteristics,Surface characteristics,Lineament,Presence of lineament,1,1,2,15.3846153846154,3,Ranking method,WLC,No,NA,No,Stormwater/surface runoff,Nonspecific,No
020,Journal Article,Integrated Remote sensing and GIS groundwater exploration and identification of artificial recharge sites,"Saraf, 1998",A.K. Saraf,P.R. Choudhury,,,,,1998,India,"Sironj area of Vidisha district, Madhya Pradesh",,Spreading methods,,,,Technical criteria,Surface characteristics,Surface characteristics,Slope,Slope,1,1,5,38.4615384615385,1,Ranking method,WLC,No,NA,No,Stormwater/surface runoff,Nonspecific,No
021,Journal Article,Managed Aquifer Recharge (MAR) through surface infiltration in the Azraq Basin/Jordan,"Alraggad, 2010","Marwan Alraggad,",Hind Jasem,,,,,2010,Jordan,Azraq basin-Eastern Jordan,,Spreading methods,,,,Technical criteria,Aquifer characteristics,Storage/water flow capacity,Hydrogeology (aquifer type),Hydrogeology,NA,NA,NA,NA,NA,Boolean logic,Boolean logic,Yes,Geology (all other except alluvial surface); Slope (>5%); Distance to urban areas and settlement (>250m) ; Distance to water source(>5km),No,Stormwater/surface runoff; Treated wastewater; Lake water,Nonspecific,No
021,Journal Article,Managed Aquifer Recharge (MAR) through surface infiltration in the Azraq Basin/Jordan,"Alraggad, 2010","Marwan Alraggad,",Hind Jasem,,,,,2010,Jordan,Azraq basin-Eastern Jordan,,Spreading methods,,,,Management criteria,Socio-environmental impact,Socio-environmental impact,Urban areas,Distance to urban areas,NA,NA,NA,NA,NA,Boolean logic,Boolean logic,Yes,Geology (all other except alluvial surface); Slope (>5%); Distance to urban areas and settlement (>250m) ; Distance to water source(>5km),No,Stormwater/surface runoff; Treated wastewater; Lake water,Nonspecific,No
021,Journal Article,Managed Aquifer Recharge (MAR) through surface infiltration in the Azraq Basin/Jordan,"Alraggad, 2010","Marwan Alraggad,",Hind Jasem,,,,,2010,Jordan,Azraq basin-Eastern Jordan,,Spreading methods,,,,Management criteria,Socio-environmental impact,Socio-environmental impact,Proximity to water sources,Proximity to water sources,NA,NA,NA,NA,NA,Boolean logic,Boolean logic,Yes,Geology (all other except alluvial surface); Slope (>5%); Distance to urban areas and settlement (>250m) ; Distance to water source(>5km),No,Stormwater/surface runoff; Treated wastewater; Lake water,Nonspecific,No
021,Journal Article,Managed Aquifer Recharge (MAR) through surface infiltration in the Azraq Basin/Jordan,"Alraggad, 2010","Marwan Alraggad,",Hind Jasem,,,,,2010,Jordan,Azraq basin-Eastern Jordan,,Spreading methods,,,,Technical criteria,Surface characteristics,Surface characteristics,slope,Slope,NA,NA,NA,NA,NA,Boolean logic,Boolean logic,Yes,Geology (all other except alluvial surface); Slope (>5%); Distance to urban areas and settlement (>250m) ; Distance to water source(>5km),No,Stormwater/surface runoff; Treated wastewater; Lake water,Nonspecific,No
022,Journal Article,Site Selection for Groundwater Artificial Recharge in Silakhor Rangeland using GIS technique,"Mehrabi, 2013",Hamidreza Mehrabi,Hossein Zeinivand,Moslem Hadidi,,,,2013,Iran,Silakhor plain,,Spreading methods,,,,Technical criteria,Aquifer characteristics,Storage/water flow capacity,Lithology,Geology / Lithology,0.162,0.005,0.083,39.3802717900656,2,Pairwise comparison method,AHP,No,NA,No,Nonspecific,Domestic,No
022,Journal Article,Site Selection for Groundwater Artificial Recharge in Silakhor Rangeland using GIS technique,"Mehrabi, 2013",Hamidreza Mehrabi,Hossein Zeinivand,Moslem Hadidi,,,,2013,Iran,Silakhor plain,,Spreading methods,,,,Technical criteria,Surface characteristics,Surface characteristics,Faults,Distance to Lineaments / Faults,0.019,0.003,0.016,0.890346766635427,5,Pairwise comparison method,AHP,No,NA,No,Nonspecific,Domestic,No
022,Journal Article,Site Selection for Groundwater Artificial Recharge in Silakhor Rangeland using GIS technique,"Mehrabi, 2013",Hamidreza Mehrabi,Hossein Zeinivand,Moslem Hadidi,,,,2013,Iran,Silakhor plain,,Spreading methods,,,,Technical criteria,Surface characteristics,Surface characteristics,Soil type,Soil type,0.03,0.017,0.033,2.89948453608247,4,Pairwise comparison method,AHP,No,NA,No,Nonspecific,Domestic,No
022,Journal Article,Site Selection for Groundwater Artificial Recharge in Silakhor Rangeland using GIS technique,"Mehrabi, 2013",Hamidreza Mehrabi,Hossein Zeinivand,Moslem Hadidi,,,,2013,Iran,Silakhor plain,,Spreading methods,,,,Technical criteria,Surface characteristics,Surface characteristics,Slope,Slope,0.162,0.012,0.105,49.8184161199625,1,Pairwise comparison method,AHP,No,NA,No,Nonspecific,Domestic,No
022,Journal Article,Site Selection for Groundwater Artificial Recharge in Silakhor Rangeland using GIS technique,"Mehrabi, 2013",Hamidreza Mehrabi,Hossein Zeinivand,Moslem Hadidi,,,,2013,Iran,Silakhor plain,,Spreading methods,,,,Environmental criteria,Environmental criteria,Environmental criteria,Rainfall,Rainfall,0.057,0.014,0.042,7.01148078725398,3,Pairwise comparison method,AHP,No,NA,No,Nonspecific,Domestic,No
022,Journal Article,Site Selection for Groundwater Artificial Recharge in Silakhor Rangeland using GIS technique,"Mehrabi, 2013",Hamidreza Mehrabi,Hossein Zeinivand,Moslem Hadidi,,,,2013,Iran,Silakhor plain,,Spreading methods,,,,Technical criteria,Aquifer characteristics,Storage capacity,Groundwater table,Groundwater level,NA,NA,NA,NA,NA,Pairwise comparison method,AHP,No,NA,No,Nonspecific,Domestic,No
022,Journal Article,Site Selection for Groundwater Artificial Recharge in Silakhor Rangeland using GIS technique,"Mehrabi, 2013",Hamidreza Mehrabi,Hossein Zeinivand,Moslem Hadidi,,,,2013,Iran,Silakhor plain,,Spreading methods,,,,Technical criteria,Surface characteristics,Surface characteristics,Infiltration rate,Hydrological soils,NA,NA,NA,NA,NA,Pairwise comparison method,AHP,No,NA,No,Nonspecific,Domestic,No
022,Journal Article,Site Selection for Groundwater Artificial Recharge in Silakhor Rangeland using GIS technique,"Mehrabi, 2013",Hamidreza Mehrabi,Hossein Zeinivand,Moslem Hadidi,,,,2013,Iran,Silakhor plain,,Spreading methods,,,,Environmental criteria,Environmental criteria,Environmental criteria,"Climatology data series(temperature, rainfall, evapotranspiration)","Climatology data series (temperature, rainfall, evapotranspiration)",NA,NA,NA,NA,NA,Pairwise comparison method,AHP,No,NA,No,Nonspecific,Domestic,No
022,Journal Article,Site Selection for Groundwater Artificial Recharge in Silakhor Rangeland using GIS technique,"Mehrabi, 2013",Hamidreza Mehrabi,Hossein Zeinivand,Moslem Hadidi,,,,2013,Iran,Silakhor plain,,Spreading methods,,,,Technical criteria,Surface characteristics,Surface characteristics,Land use,Land use/ land cover,NA,NA,NA,NA,NA,Pairwise comparison method,AHP,No,NA,No,Nonspecific,Domestic,No
022,Journal Article,Site Selection for Groundwater Artificial Recharge in Silakhor Rangeland using GIS technique,"Mehrabi, 2013",Hamidreza Mehrabi,Hossein Zeinivand,Moslem Hadidi,,,,2013,Iran,Silakhor plain,,Spreading methods,,,,Technical criteria,Surface characteristics,Surface characteristics,Quality of sediments,Quality of sediments,NA,NA,NA,NA,NA,Pairwise comparison method,AHP,No,NA,No,Nonspecific,Domestic,No
022,Journal Article,Site Selection for Groundwater Artificial Recharge in Silakhor Rangeland using GIS technique,"Mehrabi, 2013",Hamidreza Mehrabi,Hossein Zeinivand,Moslem Hadidi,,,,2013,Iran,Silakhor plain,,Spreading methods,,,,Technical criteria,Aquifer characteristics,Storage/water flow capacity,Number of existing wells and springs and water level,Number of existing wells and springs and water level,NA,NA,NA,NA,NA,Pairwise comparison method,AHP,No,NA,No,Nonspecific,Domestic,No
023,Journal Article,Site selection for managed aquifer recharge using fuzzy rules: Integrating geographical Information System (GIS) tools and multi-criteria decision making,"Malekmohammadi, 2012",Bahram Malekmohammadi,Majid Ramezani Mehrian,Hamid Reza Jafari,,,,2012,Iran,Shemil-Ashkara plain-Hormozgan Province,,Unspecified,,,,Technical criteria,Surface characteristics,Surface characteristics,Suitability of geo-formation,Suitability of geo-formation,0.2593,2,7,20.8545889057402,2,Rating method,"Fuzzy logic, WLC",Yes,Slope (>10%); Land use (all other land use except pasture),Yes,Stormwater/surface runoff,Nonspecific,No
023,Journal Article,Site selection for managed aquifer recharge using fuzzy rules: Integrating geographical Information System (GIS) tools and multi-criteria decision making,"Malekmohammadi, 2012",Bahram Malekmohammadi,Majid Ramezani Mehrian,Hamid Reza Jafari,,,,2012,Iran,Shemil-Ashkara plain-Hormozgan Province,,Unspecified,,,,Technical criteria,Aquifer characteristics,Storage capacity,Depth to groundwater,Groundwater level,0.1852,1,8,17.0228411232134,3,Rating method,"Fuzzy logic, WLC",Yes,Slope (>10%); Land use (all other land use except pasture),Yes,Stormwater/surface runoff,Nonspecific,No
023,Journal Article,Site selection for managed aquifer recharge using fuzzy rules: Integrating geographical Information System (GIS) tools and multi-criteria decision making,"Malekmohammadi, 2012",Bahram Malekmohammadi,Majid Ramezani Mehrian,Hamid Reza Jafari,,,,2012,Iran,Shemil-Ashkara plain-Hormozgan Province,,Unspecified,,,,Water quality,Groundwater quality,Groundwater quality,Electrical conductivity,Groundwater quality - Electrical conductivity,0.1481,1,9,15.314352681649,4,Rating method,"Fuzzy logic, WLC",Yes,Slope (>10%); Land use (all other land use except pasture),Yes,Stormwater/surface runoff,Nonspecific,No
023,Journal Article,Site selection for managed aquifer recharge using fuzzy rules: Integrating geographical Information System (GIS) tools and multi-criteria decision making,"Malekmohammadi, 2012",Bahram Malekmohammadi,Majid Ramezani Mehrian,Hamid Reza Jafari,,,,2012,Iran,Shemil-Ashkara plain-Hormozgan Province,,Unspecified,,,,Technical criteria,Surface characteristics,Surface characteristics,Slope,Slope,0.2222,2,10,25.5296658853808,1,Rating method,"Fuzzy logic, WLC",Yes,Slope (>10%); Land use (all other land use except pasture),Yes,Stormwater/surface runoff,Nonspecific,No
023,Journal Article,Site selection for managed aquifer recharge using fuzzy rules: Integrating geographical Information System (GIS) tools and multi-criteria decision making,"Malekmohammadi, 2012",Bahram Malekmohammadi,Majid Ramezani Mehrian,Hamid Reza Jafari,,,,2012,Iran,Shemil-Ashkara plain-Hormozgan Province,,Unspecified,,,,Technical criteria,Surface characteristics,Surface characteristics,Potential runoff,Potential runoff,0.1852,2,10,21.2785514040167,2,Rating method,"Fuzzy logic, WLC",Yes,Slope (>10%); Land use (all other land use except pasture),Yes,Stormwater/surface runoff,Nonspecific,No
024,Journal Article,The Use of GIS and Google Earth for Preliminary Site Selection of Groundwater Recharge in the Azraq Oasis Area_Jordan,"Al-Adamat, 2012",Rida Al-Adamat,,,,,,2012,Jordan,Azraq Oasis area-Central Northern Jordan,,Unspecified,,,,Technical criteria,Surface characteristics,Surface characteristics,Land use/Land cover,Land use/ land cover,NA,NA,NA,NA,NA,Boolean logic,Boolean logic,Yes,Slope (>2%); Drainage density (>1 km/km2); Lineament density (<1 km/km2); Area (>5 ha),No,Nonspecific,Agriculture; Domestic,No
024,Journal Article,The Use of GIS and Google Earth for Preliminary Site Selection of Groundwater Recharge in the Azraq Oasis Area_Jordan,"Al-Adamat, 2012",Rida Al-Adamat,,,,,,2012,Jordan,Azraq Oasis area-Central Northern Jordan,,Unspecified,,,,Technical criteria,Surface characteristics,Surface characteristics,Slope,Slope,NA,NA,NA,NA,NA,Boolean logic,Boolean logic,Yes,Slope (>2%); Drainage density (>1 km/km2); Lineament density (<1 km/km2); Area (>5 ha),No,Nonspecific,Agriculture; Domestic,No
024,Journal Article,The Use of GIS and Google Earth for Preliminary Site Selection of Groundwater Recharge in the Azraq Oasis Area_Jordan,"Al-Adamat, 2012",Rida Al-Adamat,,,,,,2012,Jordan,Azraq Oasis area-Central Northern Jordan,,Unspecified,,,,Technical criteria,Surface characteristics,Surface characteristics,Lineament density,Lineament density,NA,NA,NA,NA,NA,Boolean logic,Boolean logic,Yes,Slope (>2%); Drainage density (>1 km/km2); Lineament density (<1 km/km2); Area (>5 ha),No,Nonspecific,Agriculture; Domestic,No
024,Journal Article,The Use of GIS and Google Earth for Preliminary Site Selection of Groundwater Recharge in the Azraq Oasis Area_Jordan,"Al-Adamat, 2012",Rida Al-Adamat,,,,,,2012,Jordan,Azraq Oasis area-Central Northern Jordan,,Unspecified,,,,Technical criteria,Surface characteristics,Surface characteristics,Drainage density,Drainage density/Drainage intensity,NA,NA,NA,NA,NA,Boolean logic,Boolean logic,Yes,Slope (>2%); Drainage density (>1 km/km2); Lineament density (<1 km/km2); Area (>5 ha),No,Nonspecific,Agriculture; Domestic,No
025,Journal Article,Land assessment for flood spreading site selection using geospatial information system,"Alesheikh, 2008",A.A.Alesheikh,M. J. Soltani,N. Nouri,M. Khalilzadeh,,,2008,Iran,Ahrom basin in Boushehr province,,Spreading methods,,,,Technical criteria,Aquifer characteristics,Storage capacity,Alluvium thickness,Alluvium thickness,7,0,10,18.9189189189189,3,Rating method,"Fuzzy logic, WLC",Yes,Land use (all other areas except agricultural areas),Yes,Stormwater/surface runoff,Nonspecific,No
025,Journal Article,Land assessment for flood spreading site selection using geospatial information system,"Alesheikh, 2008",A.A.Alesheikh,M. J. Soltani,N. Nouri,M. Khalilzadeh,,,2008,Iran,Ahrom basin in Boushehr province,,Spreading methods,,,,Technical criteria,Aquifer characteristics,Storage/water flow capacity,Geology,Geology / Lithology,6,0,10,16.2162162162162,4,Rating method,"Fuzzy logic, WLC",Yes,Land use (all other areas except agricultural areas),Yes,Stormwater/surface runoff,Nonspecific,No
025,Journal Article,Land assessment for flood spreading site selection using geospatial information system,"Alesheikh, 2008",A.A.Alesheikh,M. J. Soltani,N. Nouri,M. Khalilzadeh,,,2008,Iran,Ahrom basin in Boushehr province,,Spreading methods,,,,Technical criteria,Surface characteristics,Surface characteristics,Land use,Land use/ land cover,NA,NA,NA,NA,NA,Rating method,"Fuzzy logic, WLC",Yes,Land use (all other areas except agricultural areas),Yes,Stormwater/surface runoff,Nonspecific,No
025,Journal Article,Land assessment for flood spreading site selection using geospatial information system,"Alesheikh, 2008",A.A.Alesheikh,M. J. Soltani,N. Nouri,M. Khalilzadeh,,,2008,Iran,Ahrom basin in Boushehr province,,Spreading methods,,,,Technical criteria,Surface characteristics,Surface characteristics,Land capabilities,Land capabilities,6,0,10,16.2162162162162,4,Rating method,"Fuzzy logic, WLC",Yes,Land use (all other areas except agricultural areas),Yes,Stormwater/surface runoff,Nonspecific,No
025,Journal Article,Land assessment for flood spreading site selection using geospatial information system,"Alesheikh, 2008",A.A.Alesheikh,M. J. Soltani,N. Nouri,M. Khalilzadeh,,,2008,Iran,Ahrom basin in Boushehr province,,Spreading methods,,,,Technical criteria,Surface characteristics,Surface characteristics,Slope,Slope,10,0,10,27.027027027027,1,Rating method,"Fuzzy logic, WLC",Yes,Land use (all other areas except agricultural areas),Yes,Stormwater/surface runoff,Nonspecific,No
025,Journal Article,Land assessment for flood spreading site selection using geospatial information system,"Alesheikh, 2008",A.A.Alesheikh,M. J. Soltani,N. Nouri,M. Khalilzadeh,,,2008,Iran,Ahrom basin in Boushehr province,,Spreading methods,,,,Technical criteria,Surface characteristics,Surface characteristics,Runoff Infiltration rate,Hydrological soils,8,0,10,21.6216216216216,2,Rating method,"Fuzzy logic, WLC",Yes,Land use (all other areas except agricultural areas),Yes,Stormwater/surface runoff,Nonspecific,No
026,Journal Article,Groundwater Recharge Zone Mapping Using GIS-Based Multi-criteria Analysis: A Case Study in Central Tunisia (Maknassy Basin),"Chenini, 2010",Ismail Chenini,Abdallah Ben Mammou,Moufida El May,,,,2010,Tunisia,Maknassy basin,,Unspecified,,,,Technical criteria,Surface characteristics,Surface characteristics,Fractured outcrop,Fractured outcrop,1,0,10,14.2857142857143,1,Rating method,WLC,Yes,watershed limit (outside basin extent),No,Stormwater/surface runoff,Agriculture,No
026,Journal Article,Groundwater Recharge Zone Mapping Using GIS-Based Multi-criteria Analysis: A Case Study in Central Tunisia (Maknassy Basin),"Chenini, 2010",Ismail Chenini,Abdallah Ben Mammou,Moufida El May,,,,2010,Tunisia,Maknassy basin,,Unspecified,,,,Technical criteria,Surface characteristics,Surface characteristics,Watershed limit /watershed areal extent,Watershed limit /watershed areal extent,NA,NA,NA,NA,NA,Rating method,WLC,Yes,watershed limit (outside basin extent),No,Stormwater/surface runoff,Agriculture,No
026,Journal Article,Groundwater Recharge Zone Mapping Using GIS-Based Multi-criteria Analysis: A Case Study in Central Tunisia (Maknassy Basin),"Chenini, 2010",Ismail Chenini,Abdallah Ben Mammou,Moufida El May,,,,2010,Tunisia,Maknassy basin,,Unspecified,,,,Technical criteria,Aquifer characteristics,Storage/water flow capacity,Lithology,Geology / Lithology,1,0,10,14.2857142857143,1,Rating method,WLC,Yes,watershed limit (outside basin extent),No,Stormwater/surface runoff,Agriculture,No
026,Journal Article,Groundwater Recharge Zone Mapping Using GIS-Based Multi-criteria Analysis: A Case Study in Central Tunisia (Maknassy Basin),"Chenini, 2010",Ismail Chenini,Abdallah Ben Mammou,Moufida El May,,,,2010,Tunisia,Maknassy basin,,Unspecified,,,,Technical criteria,Surface characteristics,Surface characteristics,Drainage,Presence of drainage,1,0,10,14.2857142857143,1,Rating method,WLC,Yes,watershed limit (outside basin extent),No,Stormwater/surface runoff,Agriculture,No
026,Journal Article,Groundwater Recharge Zone Mapping Using GIS-Based Multi-criteria Analysis: A Case Study in Central Tunisia (Maknassy Basin),"Chenini, 2010",Ismail Chenini,Abdallah Ben Mammou,Moufida El May,,,,2010,Tunisia,Maknassy basin,,Unspecified,,,,Technical criteria,Surface characteristics,Surface characteristics,Lineament Density,Lineament density,1,0,10,14.2857142857143,1,Rating method,WLC,Yes,watershed limit (outside basin extent),No,Stormwater/surface runoff,Agriculture,No
026,Journal Article,Groundwater Recharge Zone Mapping Using GIS-Based Multi-criteria Analysis: A Case Study in Central Tunisia (Maknassy Basin),"Chenini, 2010",Ismail Chenini,Abdallah Ben Mammou,Moufida El May,,,,2010,Tunisia,Maknassy basin,,Unspecified,,,,Technical criteria,Surface characteristics,Surface characteristics,Drainage density,Drainage density/Drainage intensity,1,0,10,14.2857142857143,1,Rating method,WLC,Yes,watershed limit (outside basin extent),No,Stormwater/surface runoff,Agriculture,No
026,Journal Article,Groundwater Recharge Zone Mapping Using GIS-Based Multi-criteria Analysis: A Case Study in Central Tunisia (Maknassy Basin),"Chenini, 2010",Ismail Chenini,Abdallah Ben Mammou,Moufida El May,,,,2010,Tunisia,Maknassy basin,,Unspecified,,,,Technical criteria,Aquifer characteristics,Water flow capacity,Aquifer permeability,Aquifer permeability,1,0,10,14.2857142857143,1,Rating method,WLC,Yes,watershed limit (outside basin extent),No,Stormwater/surface runoff,Agriculture,No
026,Journal Article,Groundwater Recharge Zone Mapping Using GIS-Based Multi-criteria Analysis: A Case Study in Central Tunisia (Maknassy Basin),"Chenini, 2010",Ismail Chenini,Abdallah Ben Mammou,Moufida El May,,,,2010,Tunisia,Maknassy basin,,Unspecified,,,,Technical criteria,Aquifer characteristics,Storage capacity,Piezometry,Groundwater level,1,0,10,14.2857142857143,1,Rating method,WLC,Yes,watershed limit (outside basin extent),No,Stormwater/surface runoff,Agriculture,No
027,Journal Article,"Integrated Water Resource Development Plan for Sustainable Management of Mayurakshi Watershed,India using Remote Sensing and GIS","Chowdary, 2009",V. M. Chowdary,D. Ramakrishnan,Y. K. Srivastava,Vinu Chandran,,,2009,India,Mayurakshi watershed of Jharkhand state,,Spreading methods,In-channel modifications,Rainwater/Runoff Harvesting,"Well, shaft, borehole recharge",Technical criteria,Surface characteristics,Surface characteristics,soil permeability,Hydrological soils,NA,NA,NA,NA,NA,Boolean logic,Boolean logic,Yes,Depend on MAR type,No,Nonspecific,Nonspecific,No
027,Journal Article,"Integrated Water Resource Development Plan for Sustainable Management of Mayurakshi Watershed,India using Remote Sensing and GIS","Chowdary, 2009",V. M. Chowdary,D. Ramakrishnan,Y. K. Srivastava,Vinu Chandran,,,2009,India,Mayurakshi watershed of Jharkhand state,,Spreading methods,In-channel modifications,Rainwater/Runoff Harvesting,"Well, shaft, borehole recharge",Technical criteria,Aquifer characteristics,Storage capacity,Depth to groundwater,Groundwater level,NA,NA,NA,NA,NA,Boolean logic,Boolean logic,Yes,Depend on MAR type,No,Nonspecific,Nonspecific,No
